current,R,G,B,rgb unique combination
0.083195,   0,   0, 195,4
0.088273, 255,   0,   0,6
0.083126,   0,   0, 195,4
0.088366, 255,   0,   0,6
0.104134, 255, 225,   0,2
0.069687,   0,   0,   0,5
0.104297, 255, 225,   0,2
0.069593,   0,   0,   0,5
0.099266,   0, 225, 195,3
0.088273, 255,   0,   0,6
0.083102,   0,   0, 195,4
0.069640,   0,   0,   0,5
0.101875, 255,   0, 195,1
0.103924, 255, 225,   0,2
0.088180, 255,   0,   0,6
0.069593,   0,   0,   0,5
0.118132, 255, 225, 195,7
0.083172,   0,   0, 195,4
0.088273, 255,   0,   0,6
0.117876, 255, 225, 195,7
0.103738, 255, 225,   0,2
0.069593,   0,   0,   0,5
0.104064, 255, 225,   0,2
0.098987,   0, 225, 195,3
0.088180, 255,   0,   0,6
0.099033,   0, 225, 195,3
0.069547,   0,   0,   0,5
0.083172,   0,   0, 195,4
0.099126,   0, 225, 195,3
0.117806, 255, 225, 195,7
0.099010,   0, 225, 195,3
0.103831, 255, 225,   0,2
0.069593,   0,   0,   0,5
0.104204, 255, 225,   0,2
0.085478,   0, 225,   0,0
0.103994, 255, 225,   0,2
0.085361,   0, 225,   0,0
0.099080,   0, 225, 195,3
0.088180, 255,   0,   0,6
0.103948, 255, 225,   0,2
0.069593,   0,   0,   0,5
0.101875, 255,   0, 195,1
0.103878, 255, 225,   0,2
0.088087, 255,   0,   0,6
0.099080,   0, 225, 195,3
0.069570,   0,   0,   0,5
0.085385,   0, 225,   0,0
0.117899, 255, 225, 195,7
0.085315,   0, 225,   0,0
0.117759, 255, 225, 195,7
0.085245,   0, 225,   0,0
0.103878, 255, 225,   0,2
0.085292,   0, 225,   0,0
0.099103,   0, 225, 195,3
0.088133, 255,   0,   0,6
0.083009,   0,   0, 195,4
0.088133, 255,   0,   0,6
0.101712, 255,   0, 195,1
0.069477,   0,   0,   0,5
0.085431,   0, 225,   0,0
0.069547,   0,   0,   0,5
0.102038, 255,   0, 195,1
0.069593,   0,   0,   0,5
0.085478,   0, 225,   0,0
0.083126,   0,   0, 195,4
0.088226, 255,   0,   0,6
0.103924, 255, 225,   0,2
0.117713, 255, 225, 195,7
0.103692, 255, 225,   0,2
0.117666, 255, 225, 195,7
0.069500,   0,   0,   0,5
0.085525,   0, 225,   0,0
0.099150,   0, 225, 195,3
0.101898, 255,   0, 195,1
0.099126,   0, 225, 195,3
0.069547,   0,   0,   0,5
0.101852, 255,   0, 195,1
0.088063, 255,   0,   0,6
0.103994, 255, 225,   0,2
0.101642, 255,   0, 195,1
0.085222,   0, 225,   0,0
0.099126,   0, 225, 195,3
0.083009,   0,   0, 195,4
0.088226, 255,   0,   0,6
0.069593,   0,   0,   0,5
0.101921, 255,   0, 195,1
0.104018, 255, 225,   0,2
0.088087, 255,   0,   0,6
0.083032,   0,   0, 195,4
0.085478,   0, 225,   0,0
0.069593,   0,   0,   0,5
0.102061, 255,   0, 195,1
0.085501,   0, 225,   0,0
0.117852, 255, 225, 195,7
0.103831, 255, 225,   0,2
0.088180, 255,   0,   0,6
0.069640,   0,   0,   0,5
0.083219,   0,   0, 195,4
0.118015, 255, 225, 195,7
0.098963,   0, 225, 195,3
0.101852, 255,   0, 195,1
0.099010,   0, 225, 195,3
0.069500,   0,   0,   0,5
0.099126,   0, 225, 195,3
0.088180, 255,   0,   0,6
0.103948, 255, 225,   0,2
0.099103,   0, 225, 195,3
0.117526, 255, 225, 195,7
0.103738, 255, 225,   0,2
0.069524,   0,   0,   0,5
0.117829, 255, 225, 195,7
0.103645, 255, 225,   0,2
0.117550, 255, 225, 195,7
0.098894,   0, 225, 195,3
0.101665, 255,   0, 195,1
0.069640,   0,   0,   0,5
0.104018, 255, 225,   0,2
0.082986,   0,   0, 195,4
0.101758, 255,   0, 195,1
0.103901, 255, 225,   0,2
0.101712, 255,   0, 195,1
0.099057,   0, 225, 195,3
0.088226, 255,   0,   0,6
0.083079,   0,   0, 195,4
0.117806, 255, 225, 195,7
0.082916,   0,   0, 195,4
0.102015, 255,   0, 195,1
0.103878, 255, 225,   0,2
0.085338,   0, 225,   0,0
0.083242,   0,   0, 195,4
0.085408,   0, 225,   0,0
0.069547,   0,   0,   0,5
0.088273, 255,   0,   0,6
0.099150,   0, 225, 195,3
0.069593,   0,   0,   0,5
0.088273, 255,   0,   0,6
0.085478,   0, 225,   0,0
0.099313,   0, 225, 195,3
0.103878, 255, 225,   0,2
0.088156, 255,   0,   0,6
0.101782, 255,   0, 195,1
0.103878, 255, 225,   0,2
0.085361,   0, 225,   0,0
0.069593,   0,   0,   0,5
0.083242,   0,   0, 195,4
0.099196,   0, 225, 195,3
0.069593,   0,   0,   0,5
0.085431,   0, 225,   0,0
0.069547,   0,   0,   0,5
0.099266,   0, 225, 195,3
0.083242,   0,   0, 195,4
0.088273, 255,   0,   0,6
0.085431,   0, 225,   0,0
0.117806, 255, 225, 195,7
0.069617,   0,   0,   0,5
0.099266,   0, 225, 195,3
0.117852, 255, 225, 195,7
0.083195,   0,   0, 195,4
0.117806, 255, 225, 195,7
0.098870,   0, 225, 195,3
0.117643, 255, 225, 195,7
0.082963,   0,   0, 195,4
0.069593,   0,   0,   0,5
0.085385,   0, 225,   0,0
0.083102,   0,   0, 195,4
0.104064, 255, 225,   0,2
0.083009,   0,   0, 195,4
0.099290,   0, 225, 195,3
0.101782, 255,   0, 195,1
0.103924, 255, 225,   0,2
0.088087, 255,   0,   0,6
0.083009,   0,   0, 195,4
0.103971, 255, 225,   0,2
0.083195,   0,   0, 195,4
0.085478,   0, 225,   0,0
0.104111, 255, 225,   0,2
0.088226, 255,   0,   0,6
0.101921, 255,   0, 195,1
0.098940,   0, 225, 195,3
0.083149,   0,   0, 195,4
0.103994, 255, 225,   0,2
0.101642, 255,   0, 195,1
0.117596, 255, 225, 195,7
0.088133, 255,   0,   0,6
0.069547,   0,   0,   0,5
0.083079,   0,   0, 195,4
0.088273, 255,   0,   0,6
0.069547,   0,   0,   0,5
0.118015, 255, 225, 195,7
0.069593,   0,   0,   0,5
0.101968, 255,   0, 195,1
0.103971, 255, 225,   0,2
0.098987,   0, 225, 195,3
0.103831, 255, 225,   0,2
0.083172,   0,   0, 195,4
0.101782, 255,   0, 195,1
0.099220,   0, 225, 195,3
0.101828, 255,   0, 195,1
0.083079,   0,   0, 195,4
0.085478,   0, 225,   0,0
0.101898, 255,   0, 195,1
0.069640,   0,   0,   0,5
0.118062, 255, 225, 195,7
0.099010,   0, 225, 195,3
0.085408,   0, 225,   0,0
0.103971, 255, 225,   0,2
0.101852, 255,   0, 195,1
